黑龙江省北大荒建三江知青基金会,,47.25651,132.63704,黑龙江省佳木斯市富锦市胜利大街,230882,中国,黑龙江省,佳木斯市,富锦市,胜利大街
上海市拥军优属基金会徐汇区分会,漕宝路80号,31.16773,121.42902,上海市徐汇区漕宝路80号,310104,中国,上海市,上海市,徐汇区,漕宝路
上海市慈善基金会闵行区分会,七莘路700号,31.1207,121.37219,上海市闵行区七莘路700号,310112,中国,上海市,上海市,闵行区,七莘路
上海市老年基金会浦东新区分会,,31.24756,121.57265,上海市浦东新区云山路,310115,中国,上海市,上海市,浦东新区,云山路
上海市慈善基金会长宁区分会,,31.2118,121.42581,上海市长宁区昭化路,310105,中国,上海市,上海市,长宁区,昭化路
上海市慈善基金会闵行区分会,莘浜路157弄1-3号,31.10612,121.3774,上海市闵行区莘建路莘浜路157弄1-3号,310112,中国,上海市,上海市,闵行区,莘建路
上海市老年基金会徐汇区分会,漕宝路80号,31.16773,121.42902,上海市徐汇区漕宝路80号,310104,中国,上海市,上海市,徐汇区,漕宝路
上海市慈善基金会黄浦区分会,茂名南路151号,31.21644,121.46182,上海市黄浦区南昌路茂名南路151号,310101,中国,上海市,上海市,黄浦区,南昌路
上海市拥军优属基金会黄浦区分会,淡水路464号,31.21082,121.47442,上海市黄浦区淡水路464号,310101,中国,上海市,上海市,黄浦区,淡水路
上海市长宁区老年基金会长宁分会,,31.21281,121.39145,上海市长宁区新渔东路,310105,中国,上海市,上海市,长宁区,新渔东路
上海市残疾人福利基金会徐汇区办事处,医学院路3号,31.20053,121.46079,上海市徐汇区医学院路3号,310104,中国,上海市,上海市,徐汇区,医学院路
上海市慈善基金会静安区分会,常德路800号,31.2333,121.44351,上海市静安区常德路800号,310106,中国,上海市,上海市,静安区,常德路
上海市慈善基金会普陀区分会,,31.248,121.398,上海市普陀区大渡河路,310107,中国,上海市,上海市,普陀区,大渡河路
浦东基金会服务园,峨山路633号,31.21401,121.52088,上海市浦东新区峨山路633号,310115,中国,上海市,上海市,浦东新区,峨山路
上海市老年基金会徐汇区分会,湖南路301号,31.20828,121.43768,上海市徐汇区湖南路301号,310104,中国,上海市,上海市,徐汇区,湖南路
上海市老年基金会闵行区分会,七莘路700号,31.1207,121.37219,上海市闵行区七莘路700号,310112,中国,上海市,上海市,闵行区,七莘路
上海市老年基金会普陀区分会,,31.248,121.398,上海市普陀区大渡河路,310107,中国,上海市,上海市,普陀区,大渡河路
上海慈善基金会浦东新区分会,,31.24756,121.57265,上海市浦东新区云山路,310115,中国,上海市,上海市,浦东新区,云山路
上海市慈善基金会卢湾分会,茂名南路151号,31.2165,121.46185,上海市黄浦区南昌路茂名南路151号,310101,中国,上海市,上海市,黄浦区,南昌路
上海市老年基金会闵行区分会,莘浜路157弄1-3号,31.10612,121.3774,上海市闵行区莘建路莘浜路157弄1-3号,310112,中国,上海市,上海市,闵行区,莘建路
中华民族发展基金会公司,,31.14951,121.5058,上海市浦东新区上南路,310115,中国,上海市,上海市,浦东新区,上南路
上海美丽心灵社区公益基金会,普育西路105号,31.2111,121.49553,上海市黄浦区普育东路普育西路105号,310101,中国,上海市,上海市,黄浦区,普育东路
美国中华医学基金会药品政策与经济学研究合作项目,肇嘉浜路446号,31.20221,121.45509,上海市徐汇区肇嘉浜路446号,310104,中国,上海市,上海市,徐汇区,肇嘉浜路
上海浦东新区社会发展基金会,茂兴路86-98号,31.2097,121.5143,上海市浦东新区茂兴路86-98号,310115,中国,上海市,上海市,浦东新区,茂兴路
明日中国基金会-明日公益计划,溧阳路611号,31.25449,121.49179,上海市虹口区沙泾路溧阳路611号,310109,中国,上海市,上海市,虹口区,沙泾路
上海市大学生科技创业基金会东华大学分基金会,,31.20254,121.42538,上海市长宁区新华路,310105,中国,上海市,上海市,长宁区,新华路
上海市社会团体管理局基金会管理处,汉口路193号,31.23604,121.48653,上海市黄浦区汉口路193号,310101,中国,上海市,上海市,黄浦区,汉口路
上海文化发展基金会安徒生儿童文化公园专项基金,,31.18798,121.49293,上海市浦东新区世博大道,310115,中国,上海市,上海市,浦东新区,世博大道
联合国儿童基金会,,31.25448,121.43651,上海市普陀区中山北路,310107,中国,上海市,上海市,普陀区,中山北路
仁心公益基金会,紫秀路100号,31.18,121.38123,上海市闵行区合川路紫秀路100号,310112,中国,上海市,上海市,闵行区,合川路
上海市慈善基金会普陀区分会长风社区慈善工作站,金沙江路630号,31.23256,121.40143,上海市普陀区金沙江路630号,310107,中国,上海市,上海市,普陀区,金沙江路
上海市慈善基金会闵行区分会颛桥镇工作站,颛兴路230号,31.06455,121.39106,上海市闵行区颛乐路颛兴路230号,310112,中国,上海市,上海市,闵行区,颛乐路
慈善超市,,31.23649,121.44741,上海市静安区陕西北路,310106,中国,上海市,上海市,静安区,陕西北路
巴斯德健康研究基金会,,31.21024,121.59286,上海市浦东新区郭守敬路,310115,中国,上海市,上海市,浦东新区,郭守敬路
左二基金会,,31.14952,121.50572,上海市浦东新区上南路,310115,中国,上海市,上海市,浦东新区,上南路
上海市慈善基金会闵行区分会虹桥镇工作站,吴中路870弄1-21号,31.17942,121.39156,上海市闵行区吴中路870弄1-21号,310112,中国,上海市,上海市,闵行区,吴中路
上海市慈善基金会长宁区分会江苏路街道慈善工作站,,31.2158,121.43314,上海市长宁区延安西路,310105,中国,上海市,上海市,长宁区,延安西路
上海市慈善基金会闵行区分会江川路街道工作站,,31.00844,121.41512,上海市闵行区鹤庆路,310112,中国,上海市,上海市,闵行区,鹤庆路
德国阿登纳基金会,延安西路129号,31.21974,121.44377,上海市静安区延安西路129号,310106,中国,上海市,上海市,静安区,延安西路
乐三兰馨教育发展基金会办事处,,31.19901,121.45095,上海市徐汇区东安路,310104,中国,上海市,上海市,徐汇区,东安路
世界自然基金会,陕西北路1388号,31.24245,121.44283,上海市普陀区陕西北路1388号,310107,中国,上海市,上海市,普陀区,陕西北路
弗里德里希艾伯特基金会,延安中路829号,31.22353,121.45551,上海市静安区延安中路829号,310106,中国,上海市,上海市,静安区,延安中路
杨霖奖学金基金会,复兴中路1195号,31.21248,121.45989,上海市徐汇区嘉善路复兴中路1195号,310104,中国,上海市,上海市,徐汇区,嘉善路
美丽心灵社区公益基金会洋泾关爱中心,,31.23816,121.54551,上海市浦东新区沈家弄路,310115,中国,上海市,上海市,浦东新区,沈家弄路
左一基金会,,31.14952,121.50572,上海市浦东新区上南路,310115,中国,上海市,上海市,浦东新区,上南路
爱佑慈善基金会,东方路1678号,31.20562,121.52359,上海市浦东新区东方路1678号,310115,中国,上海市,上海市,浦东新区,东方路
顶正餐饮集团创业基金会,漕宝路3138号,31.15644,121.35382,上海市闵行区漕宝路3138号,310112,中国,上海市,上海市,闵行区,漕宝路
上海华侨基金会中美杰出青年项目办公室,肇家浜路777号,31.19828,121.44858,上海市徐汇区肇嘉浜路肇家浜路777号,310104,中国,上海市,上海市,徐汇区,肇嘉浜路
艾伯特基金会上海协调办公室,延安中路829号,31.22343,121.45513,上海市静安区延安中路829号,310106,中国,上海市,上海市,静安区,延安中路
中国儿童少年基金会安康宣传栏公益项目办公室,,31.17818,121.45266,上海市徐汇区龙华路,310104,中国,上海市,上海市,徐汇区,龙华路
上海真爱梦想公益基金会南区,,31.20217,121.58077,上海市浦东新区祖冲之路,310115,中国,上海市,上海市,浦东新区,祖冲之路
上海市慈善基金会浦东新区分会南汇新城镇工作站,芦硕路298号,30.86888,121.85877,上海市浦东新区芦硕路298号,310115,中国,上海市,上海市,浦东新区,芦硕路
宁波市扶贫基金会,中山西路173号,29.87394,121.54171,浙江省宁波市海曙区中山西路173号,330203,中国,浙江省,宁波市,海曙区,中山西路
浙江省理想慈善基金会,公园路99弄15号,29.87616,121.54668,浙江省宁波市海曙区公园路99弄15号,330203,中国,浙江省,宁波市,海曙区,公园路
浙江千手慈善基金会,百丈东路1130号,29.85625,121.5938,浙江省宁波市江东区百丈东路1130号,330204,中国,浙江省,宁波市,江东区,百丈东路
宁波市慈爱互助基金会,百丈东路96号,29.86219,121.57315,浙江省宁波市江东区甬港南路百丈东路96号,330204,中国,浙江省,宁波市,江东区,甬港南路
宁波市人民教育基金会,和义路137号,29.87652,121.55238,浙江省宁波市海曙区和义路137号,330203,中国,浙江省,宁波市,海曙区,和义路
宁波市扶贫基金会,孝闻街100号,29.87875,121.54549,浙江省宁波市海曙区孝闻街100号,330203,中国,浙江省,宁波市,海曙区,孝闻街
奉化市教育基金会,桥西岸路128号,29.64784,121.40856,浙江省宁波市奉化市桥西岸路128号,330283,中国,浙江省,宁波市,奉化市,桥西岸路
宁波鄞州银行公益基金会,,29.80775,121.53279,浙江省宁波市鄞州区泰安西路,330212,中国,浙江省,宁波市,鄞州区,泰安西路
博约博物馆文化发展基金会,首南中路1000号,29.81435,121.54544,浙江省宁波市鄞州区首南中路1000号,330212,中国,浙江省,宁波市,鄞州区,首南中路
善园基金会,,29.80795,121.53254,浙江省宁波市鄞州区泰安西路,330212,中国,浙江省,宁波市,鄞州区,泰安西路
象山县人民教育基金会,靖南大街304号,29.4715,121.87873,浙江省宁波市象山县靖南大街304号,330225,中国,浙江省,宁波市,象山县,靖南大街
新台州人健康救助基金会,商海南街609号,28.57002,121.36196,浙江省台州市路桥区文化路商海南街609号,331004,中国,浙江省,台州市,路桥区,文化路
中共新台州人健康救助基金会支部,商海南街609号,28.56995,121.36186,浙江省台州市路桥区文化路商海南街609号,331004,中国,浙江省,台州市,路桥区,文化路
浙江豪成慈善基金会,,28.37966,121.37322,浙江省台州市温岭市中华路,331081,中国,浙江省,台州市,温岭市,中华路
浙江省农业技术推广基金会温岭执行部,,28.36522,121.36174,浙江省台州市温岭市方城路,331081,中国,浙江省,台州市,温岭市,方城路
中国扶贫基金会义县农户自立服务中心,南关街322号,41.52809,121.23177,辽宁省锦州市义县南关街322号,210727,中国,辽宁省,锦州市,义县,南关街
葫芦岛市见义勇为基金会,,40.70144,120.84532,辽宁省葫芦岛市龙港区龙警街,211403,中国,辽宁省,葫芦岛市,龙港区,龙警街
辽宁省公益基金会葫芦岛市办事处,,40.72855,120.82578,辽宁省葫芦岛市连山区新华大街,211402,中国,辽宁省,葫芦岛市,连山区,新华大街
海阳市残疾人福利基金会,海阳路168号,36.77951,121.19364,山东省烟台市海阳市海阳路168号,370687,中国,山东省,烟台市,海阳市,海阳路
南通市慈善基金会,环城南路23号,32.01298,120.86372,江苏省南通市崇川区环城南路23号,320602,中国,江苏省,南通市,崇川区,环城南路
南通理治教育发展基金会,北濠桥路5号,32.01946,120.86458,江苏省南通市崇川区北濠桥路5号,320602,中国,江苏省,南通市,崇川区,北濠桥路
通州区企业扶贫济困基金会,建设路9号,32.07937,121.07615,江苏省南通市通州区建设路9号,320612,中国,江苏省,南通市,通州区,建设路
南通市老区扶贫基金会,,32.0113,120.85835,江苏省南通市崇川区桃坞路,320602,中国,江苏省,南通市,崇川区,桃坞路
常熟振华孝心基金会,,31.68546,120.777,江苏省苏州市常熟市龙腾路,320581,中国,江苏省,苏州市,常熟市,龙腾路
德胜镇合作基金会,,31.95806,121.16622,江苏省南通市海门市德兴街,320684,中国,江苏省,南通市,海门市,德兴街
德康博爱基金会,黄河路12号,31.67688,120.76821,江苏省苏州市常熟市黄河路12号,320581,中国,江苏省,苏州市,常熟市,黄河路
上海市慈善基金会,平城路160号,31.40019,121.25997,上海市嘉定区平城路160号,310114,中国,上海市,上海市,嘉定区,平城路
江苏秉龙慈善基金会,前进中路279号,31.38284,120.97354,江苏省苏州市昆山市前进中路279号,320583,中国,江苏省,苏州市,昆山市,前进中路
江苏中大公益基金会,北门路1000号,31.41584,120.94982,江苏省苏州市昆山市北门路1000号,320583,中国,江苏省,苏州市,昆山市,北门路
昆山市慈善基金会,,31.38311,120.95856,江苏省苏州市昆山市前进西路,320583,中国,江苏省,苏州市,昆山市,前进西路
昆山市慈善总会(基金会),,31.38806,120.95616,江苏省苏州市昆山市环城北路,320583,中国,江苏省,苏州市,昆山市,环城北路
上海市嘉定区教育奖励基金会,,31.38407,121.24133,上海市嘉定区环城路,310114,中国,上海市,上海市,嘉定区,环城路
太仓市慈善基金会,,31.45201,121.11391,江苏省苏州市太仓市太平南路,320585,中国,江苏省,苏州市,太仓市,太平南路
昆山昱庭公益基金会,虹桥路318号,31.3849,120.93338,江苏省苏州市昆山市虹桥路318号,320583,中国,江苏省,苏州市,昆山市,虹桥路
昆山昱庭公益基金会,,31.39495,120.95332,江苏省苏州市昆山市娄苑路,320583,中国,江苏省,苏州市,昆山市,娄苑路
上海市嘉定区城镇建设基金会,,31.37669,121.26715,上海市嘉定区迎园路,310114,中国,上海市,上海市,嘉定区,迎园路
上海市老年基金会(金山区分会),,30.90012,121.16644,上海市金山区临源街,310116,中国,上海市,上海市,金山区,临源街
上海市金山区教育发展基金会,文商路119号,30.89662,121.16032,上海市金山区文商路119号,310116,中国,上海市,上海市,金山区,文商路
嘉兴市秀洲区农业技术推广基金会,洪仁路189-191号,30.76089,120.72229,浙江省嘉兴市秀洲区洪仁路189-191号,330411,中国,浙江省,嘉兴市,秀洲区,洪仁路
中国宋庆龄基金会华东地区办事处,富民北路108号,30.73441,120.77517,浙江省嘉兴市南湖区富润路富民北路108号,330402,中国,浙江省,嘉兴市,南湖区,富润路
中国电影基金会浙江办事处,富民北路108号,30.73441,120.77517,浙江省嘉兴市南湖区富润路富民北路108号,330402,中国,浙江省,嘉兴市,南湖区,富润路
虹基金华东地区办事处,富民北路108号,30.73441,120.77517,浙江省嘉兴市南湖区富润路富民北路108号,330402,中国,浙江省,嘉兴市,南湖区,富润路
上海市慈善基金会金山区分会吕巷镇慈善工作站,溪南路58号,30.82656,121.17529,上海市金山区溪南路58号,310116,中国,上海市,上海市,金山区,溪南路
新华爱心教育基金会(总部),,30.73672,120.83423,浙江省嘉兴市南湖区广益路,330402,中国,浙江省,嘉兴市,南湖区,广益路
瑞宝渔具有限公司员工互助基金会,,30.20611,121.21919,浙江省宁波市慈溪市北三环西路,330282,中国,浙江省,宁波市,慈溪市,北三环西路
宁波太平洋慈善基金会,大黄桥路7号,30.04508,121.15383,浙江省宁波市余姚市大黄桥路7号,330281,中国,浙江省,宁波市,余姚市,大黄桥路
千训基金会,市民大道333号,30.03383,120.89038,浙江省绍兴市上虞区市民大道333号,330604,中国,浙江省,绍兴市,上虞区,市民大道
东盟电气集团职工福利发展基金会(经六路),经六路131号,28.05894,120.99497,浙江省温州市乐清市经六路131号,330382,中国,浙江省,温州市,乐清市,经六路
东盟电气集团职工福利发展基金会(兴达路),兴达路2号,28.04408,120.89881,浙江省温州市乐清市兴达路2号,330382,中国,浙江省,温州市,乐清市,兴达路
中国扶贫基金会朝阳农户自立服务中心,珠江路12号,41.55939,120.44149,辽宁省朝阳市双塔区龙山街四段珠江路12号,211302,中国,辽宁省,朝阳市,双塔区,龙山街四段
中国宋庆龄基金会肠公益中华行朝阳服务中心,,41.59407,120.47179,辽宁省朝阳市双塔区北大街,211302,中国,辽宁省,朝阳市,双塔区,北大街
青岛即墨市慈善总会海纳爱心基金会,,36.39383,120.4657,山东省青岛市即墨市蓝鳌路,370282,中国,山东省,青岛市,即墨市,蓝鳌路
俄罗斯科学与文化发展基金会驻华代表处,长城路700号,36.32272,120.40059,山东省青岛市城阳区秋阳路长城路700号,370214,中国,山东省,青岛市,城阳区,秋阳路
青岛市残疾人福利基金会,福州北路131号,36.09569,120.40084,山东省青岛市市北区福州北路131号,370203,中国,山东省,青岛市,市北区,福州北路
青岛市老龄事业发展基金会,香港中路20号,36.06516,120.38623,山东省青岛市市南区新浦路香港中路20号,370202,中国,山东省,青岛市,市南区,新浦路
山东现代公益基金会,福州北路1号,36.08179,120.40221,山东省青岛市市南区福州北路1号,370202,中国,山东省,青岛市,市南区,福州北路
青岛市彭措郎加慈善基金会,,36.16096,120.45879,山东省青岛市李沧区合川路,370213,中国,山东省,青岛市,李沧区,合川路
山东省见义勇为基金会青岛办事处,阳谷路40号,36.07495,120.32053,山东省青岛市市北区阳谷路40号,370203,中国,山东省,青岛市,市北区,阳谷路
滨海县见义勇为基金会滨农工作站,沿河东路88号,34.25814,120.10139,江苏省盐城市滨海县通河西路沿河东路88号,320922,中国,江苏省,盐城市,滨海县,通河西路
江苏邦德爱心基金会传统文化教育基地,,33.56793,120.25198,江苏省盐城市射阳县新长线,320924,中国,江苏省,盐城市,射阳县,新长线
江苏邦德爱心基金会,青年中路28号,33.36093,120.14159,江苏省盐城市亭湖区青年路青年中路28号,320902,中国,江苏省,盐城市,亭湖区,青年路
胡友林慈善基金会五助服务中心,太平路208号,33.37436,120.12828,江苏省盐城市亭湖区太平路208号,320902,中国,江苏省,盐城市,亭湖区,太平路
浙江省残疾人福利基金会,外东山弄43号,30.25854,120.12709,浙江省杭州市西湖区玉古路外东山弄43号,330106,中国,浙江省,杭州市,西湖区,玉古路
杭州市人民教育基金会,重机巷56号,30.31714,120.1755,浙江省杭州市下城区重机巷56号,330103,中国,浙江省,杭州市,下城区,重机巷
浙江省青少年发展基金会,文二路188号,30.28344,120.13616,浙江省杭州市西湖区教工路文二路188号,330106,中国,浙江省,杭州市,西湖区,教工路
浙江省老年基金会,保俶路32号,30.26284,120.15196,浙江省杭州市西湖区凤起路保俶路32号,330106,中国,浙江省,杭州市,西湖区,凤起路
杭州市人民教育基金会(密渡桥路),密渡桥路2号,30.27576,120.15868,浙江省杭州市拱墅区密渡桥路2号,330105,中国,浙江省,杭州市,拱墅区,密渡桥路
杭州市农业技术推广基金会,混堂桥4号,30.27121,120.15614,浙江省杭州市下城区混堂桥4号,330103,中国,浙江省,杭州市,下城区,混堂桥
浙江省青年创业就业基金会,文二路188号,30.28344,120.13616,浙江省杭州市西湖区教工路文二路188号,330106,中国,浙江省,杭州市,西湖区,教工路
浙江省爱心事业基金会,黄姑山路29号,30.2755,120.13256,浙江省杭州市西湖区黄姑山路29号,330106,中国,浙江省,杭州市,西湖区,黄姑山路
中国下一代教育基金会,潮王路299号,30.28429,120.15057,浙江省杭州市拱墅区潮王路299号,330105,中国,浙江省,杭州市,拱墅区,潮王路
浙江省锦麟公益基金会,,30.23053,120.20187,浙江省杭州市上城区珊园弄,330102,中国,浙江省,杭州市,上城区,珊园弄
浙江省扶贫基金会,省府路8号,30.26327,120.15596,浙江省杭州市西湖区凤起路省府路8号,330106,中国,浙江省,杭州市,西湖区,凤起路
中国老年大爱城张学良基金会,莫干路789号,30.29988,120.13349,浙江省杭州市拱墅区景苑路莫干路789号,330105,中国,浙江省,杭州市,拱墅区,景苑路
浙江省残疾人福利基金会(万塘路),万塘路30号,30.27473,120.1251,浙江省杭州市西湖区万塘路30号,330106,中国,浙江省,杭州市,西湖区,万塘路
浙江省马寅初人口福利基金会,孩儿巷31-37号,30.25891,120.16617,浙江省杭州市下城区山子巷孩儿巷31-37号,330103,中国,浙江省,杭州市,下城区,山子巷
浙江省青少年发展基金会(思敬里),,30.26308,120.16232,浙江省杭州市下城区孩儿巷,330103,中国,浙江省,杭州市,下城区,孩儿巷
浙江海善公益基金会,中河北路83号,30.26701,120.17048,浙江省杭州市下城区中河北路83号,330103,中国,浙江省,杭州市,下城区,中河北路
浙江省金融教育基金会,学源街118号,30.31968,120.38275,浙江省杭州市江干区学源街118号,330104,中国,浙江省,杭州市,江干区,学源街
浙江文昕关爱老人基金会,省府路9号,30.2637,120.15381,浙江省杭州市西湖区凤起路省府路9号,330106,中国,浙江省,杭州市,西湖区,凤起路
浙江省爱心事业基金会,中山北路598号,30.2789,120.16716,浙江省杭州市下城区春雨巷中山北路598号,330103,中国,浙江省,杭州市,下城区,春雨巷
浙江省必达爱心慈善基金会,,30.29749,120.16788,浙江省杭州市下城区绍兴路,330103,中国,浙江省,杭州市,下城区,绍兴路
浙江大学教育基金会,,30.29847,120.0883,浙江省杭州市西湖区遵义西路,330106,中国,浙江省,杭州市,西湖区,遵义西路
杭州市下城区老年基金会,,30.26375,120.16103,浙江省杭州市下城区武林路,330103,中国,浙江省,杭州市,下城区,武林路
杭州市上城区教育发展基金会,,30.23672,120.17353,浙江省杭州市上城区中河南路,330102,中国,浙江省,杭州市,上城区,中河南路
杭州市公羊会公益基金会,,30.26779,120.16186,浙江省杭州市下城区直戒坛寺巷,330103,中国,浙江省,杭州市,下城区,直戒坛寺巷
许巷村关爱党员群众基金会,,30.39785,120.34479,浙江省嘉兴市海宁市杭甬高速公路,330481,中国,浙江省,嘉兴市,海宁市,杭甬高速公路
许村镇永福村关爱党员基金会,,30.45624,120.37715,浙江省嘉兴市海宁市市场路,330481,中国,浙江省,嘉兴市,海宁市,市场路
中国艺术节基金会浙江代表处,文二路188号,30.28344,120.13616,浙江省杭州市西湖区教工路文二路188号,330106,中国,浙江省,杭州市,西湖区,教工路
浙江省革命老区发展基金会,省府路8号,30.26327,120.15596,浙江省杭州市西湖区凤起路省府路8号,330106,中国,浙江省,杭州市,西湖区,凤起路
杭州市图书馆事业基金会,浣纱路254-4号,30.25484,120.16775,浙江省杭州市上城区平海路浣纱路254-4号,330102,中国,浙江省,杭州市,上城区,平海路
吴阶平医学基金会细胞与分子临床医学研究中心,大学路89号,30.25554,120.18268,浙江省杭州市上城区大学路89号,330102,中国,浙江省,杭州市,上城区,大学路
浙江大学紫金港校区教育基金会,,30.29838,120.08845,浙江省杭州市西湖区遵义西路,330106,中国,浙江省,杭州市,西湖区,遵义西路
中国健康促进基金会,古墩路1105号,30.32348,120.09128,浙江省杭州市西湖区古墩路1105号,330106,中国,浙江省,杭州市,西湖区,古墩路
浙江工商大学教工路校区西区-教育基金会,,30.28524,120.13438,浙江省杭州市西湖区教工路,330106,中国,浙江省,杭州市,西湖区,教工路
必达爱心慈善基金会,天城路196号,30.28424,120.18873,浙江省杭州市江干区机场路天城路196号,330104,中国,浙江省,杭州市,江干区,机场路
省农业技术推广基金会,武林路437号,30.27008,120.15862,浙江省杭州市下城区武林路437号,330103,中国,浙江省,杭州市,下城区,武林路
中社社会工作发展基金会,,30.26784,120.16188,浙江省杭州市下城区直戒坛寺巷,330103,中国,浙江省,杭州市,下城区,直戒坛寺巷
滴水基金会,石桥路416号,30.33744,120.193,浙江省杭州市下城区石桥路416号,330103,中国,浙江省,杭州市,下城区,石桥路
浙江省茶海慈善基金会,,27.67512,120.56164,浙江省温州市平阳县佳乐路,330326,中国,浙江省,温州市,平阳县,佳乐路
练川基金会,,27.6902,120.59008,浙江省温州市平阳县宋练线,330326,中国,浙江省,温州市,平阳县,宋练线
中国平安人寿钻石慈善基金会,满洲里路49号,49.2101,119.76313,内蒙古自治区呼伦贝尔市海拉尔区秀水路满洲里路49号,150702,中国,内蒙古自治区,呼伦贝尔市,海拉尔区,秀水路
中国煤矿尘肺病防治基金会,保二路13号,39.81703,119.48893,河北省秦皇岛市北戴河区保二路13号,130304,中国,河北省,秦皇岛市,北戴河区,保二路
中国煤矿尘肺病治疗基金会,保二路13号,39.81685,119.48876,河北省秦皇岛市北戴河区保二路13号,130304,中国,河北省,秦皇岛市,北戴河区,保二路
中国宋庆龄基金会青少年活动基地,,39.91184,119.57113,河北省秦皇岛市海港区河滨路,130302,中国,河北省,秦皇岛市,海港区,河滨路
高密市农村股份合作基金会联合会,,36.38651,119.75284,山东省潍坊市高密市振兴街,370785,中国,山东省,潍坊市,高密市,振兴街
同济医院黄岛慈善总会慈善基金会,,35.87587,120.01099,山东省青岛市黄岛区水灵山路,370211,中国,山东省,青岛市,黄岛区,水灵山路
响水县美德基金会,双园路118号,34.20005,119.58157,江苏省盐城市响水县双园路118号,320921,中国,江苏省,盐城市,响水县,双园路
阜宁县见义勇为基金会兴阜工作站,,33.76747,119.82727,江苏省盐城市阜宁县协鑫大道,320923,中国,江苏省,盐城市,阜宁县,协鑫大道
国海教育基金会,,27.23011,119.89402,福建省宁德市柘荣县仙屿东路,350926,中国,福建省,宁德市,柘荣县,仙屿东路
中国扶贫基金会霞浦县农户自立服务社,,26.881,119.99845,福建省宁德市霞浦县茶厂路,350921,中国,福建省,宁德市,霞浦县,茶厂路
中国扶贫基金会霞浦县农户自立服务社,,26.8921,120.031,福建省宁德市霞浦县973县道,350921,中国,福建省,宁德市,霞浦县,973县道
罗源县佛教协会慈善基金会,西大路21号,26.48631,119.54407,福建省福州市罗源县西大路21号,350123,中国,福建省,福州市,罗源县,西大路
长乐市见义勇为基金会,,25.95636,119.52117,福建省福州市长乐市南山路,350182,中国,福建省,福州市,长乐市,南山路
福建省长乐市佛教弘法基金会,,25.96121,119.49743,福建省福州市长乐市爱心路,350182,中国,福建省,福州市,长乐市,爱心路
蝉步助学基金会,,26.2373,119.60502,福建省福州市连江县131县道,350122,中国,福建省,福州市,连江县,131县道
南山村扶贫助困基金会,,26.29089,119.79667,福建省福州市连江县,350122,中国,福建省,福州市,连江县,
长乐市农村合作基金会清偿办公室,河下街40号,25.95885,119.51676,福建省福州市长乐市河下街40号,350182,中国,福建省,福州市,长乐市,河下街
中国扶贫基金会凌源市农户自立服务中心,市府路东段20号,41.24318,119.40958,辽宁省朝阳市凌源市南建昌街市府路东段20号,211382,中国,辽宁省,朝阳市,凌源市,南建昌街
潍坊市铭仁文化发展基金会,,36.69205,119.12926,山东省潍坊市奎文区健康东街,370705,中国,山东省,潍坊市,奎文区,健康东街
潍坊市铭仁文化发展基金会,东风西街528号,36.71273,119.10393,山东省潍坊市潍城区东风西街528号,370702,中国,山东省,潍坊市,潍城区,东风西街
潍坊革命老区经济开发基金会,胜利东街288号,36.70477,119.13193,山东省潍坊市奎文区胜利东街288号,370705,中国,山东省,潍坊市,奎文区,胜利东街
姜氏祠堂维修基金会,,36.85509,119.40294,山东省潍坊市昌邑市解放路,370786,中国,山东省,潍坊市,昌邑市,解放路
连云港市海州区慈善基金会,海昌南路45-4号,34.59129,119.18052,江苏省连云港市海州区海昌南路45-4号,320706,中国,江苏省,连云港市,海州区,海昌南路
连云港市海州区慈善基金会,西南路20号,34.56998,119.13135,江苏省连云港市海州区西南路20号,320706,中国,江苏省,连云港市,海州区,西南路
连云港市海州区慈善基金会捐赠接收站,西南路20号,34.56998,119.13135,江苏省连云港市海州区西南路20号,320706,中国,江苏省,连云港市,海州区,西南路
黄川镇农村合作基金会,,34.70915,118.92599,江苏省连云港市东海县党政路,320722,中国,江苏省,连云港市,东海县,党政路
连云港市海州区慈善基金会宁海乡慈善工作站,,34.51999,119.24804,江苏省连云港市海州区204国道,320706,中国,江苏省,连云港市,海州区,204国道
淮海工学院教育发展基金会,苍梧路59号,34.60388,119.22202,江苏省连云港市海州区苍梧路59号,320706,中国,江苏省,连云港市,海州区,苍梧路
连云港市海州区慈善基金会幸福路街道办事处慈善工作站,新建西路172号,34.57351,119.13325,江苏省连云港市海州区北大街新建西路172号,320706,中国,江苏省,连云港市,海州区,北大街
灌南县见义勇为基金会,,34.0939,119.32046,江苏省连云港市灌南县迎宾大道,320724,中国,江苏省,连云港市,灌南县,迎宾大道
仕洋村敬老基金会,,27.12608,119.26999,福建省宁德市周宁县,350925,中国,福建省,宁德市,周宁县,
莆田市残疾人福利基金会,学园中街1008号,25.44087,119.00984,福建省莆田市城厢区学园中街1008号,350302,中国,福建省,莆田市,城厢区,学园中街
中国扶贫基金会平泉县农户自立服务社,,41.0178,118.69824,河北省承德市平泉县福佑路,130823,中国,河北省,承德市,平泉县,福佑路
马站镇基金会,,36.06075,118.75174,山东省临沂市沂水县大众路,371323,中国,山东省,临沂市,沂水县,大众路
莒县爱心助学基金会,,35.58354,118.83616,山东省日照市莒县后营路,371122,中国,山东省,日照市,莒县,后营路
水湖套社区基金会,,35.55175,118.44916,山东省临沂市沂南县人民路,371321,中国,山东省,临沂市,沂南县,人民路
新沂市教育发展基金会,,34.36619,118.35592,江苏省徐州市新沂市利民路,320381,中国,江苏省,徐州市,新沂市,利民路
